Provincia,Mes,Variable,Valor
ANTARTIDA                            ,Ene,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Feb,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Mar,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Abr,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,May,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Jun,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Jul,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Ago,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Sep,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Oct,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Nov,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Dic,Frecuencia de días con Precipitación superior a 1.0 mm,0.0
ANTARTIDA                            ,Ene,Humedad relativa (%),68.91666666666667
ANTARTIDA                            ,Feb,Humedad relativa (%),54.449999999999996
ANTARTIDA                            ,Mar,Humedad relativa (%),29.133333333333336
ANTARTIDA                            ,Abr,Humedad relativa (%),0.0
ANTARTIDA                            ,May,Humedad relativa (%),0.0
ANTARTIDA                            ,Jun,Humedad relativa (%),0.0
ANTARTIDA                            ,Jul,Humedad relativa (%),0.0
ANTARTIDA                            ,Ago,Humedad relativa (%),0.0
ANTARTIDA                            ,Sep,Humedad relativa (%),0.0
ANTARTIDA                            ,Oct,Humedad relativa (%),0.0
ANTARTIDA                            ,Nov,Humedad relativa (%),14.6
ANTARTIDA                            ,Dic,Humedad relativa (%),68.7
ANTARTIDA                            ,Ene,Nubosidad total (octavos),6.533333333333334
ANTARTIDA                            ,Feb,Nubosidad total (octavos),6.383333333333333
ANTARTIDA                            ,Mar,Nubosidad total (octavos),6.216666666666668
ANTARTIDA                            ,Abr,Nubosidad total (octavos),5.983333333333333
ANTARTIDA                            ,May,Nubosidad total (octavos),5.6000000000000005
ANTARTIDA                            ,Jun,Nubosidad total (octavos),5.416666666666667
ANTARTIDA                            ,Jul,Nubosidad total (octavos),5.333333333333333
ANTARTIDA                            ,Ago,Nubosidad total (octavos),5.55
ANTARTIDA                            ,Sep,Nubosidad total (octavos),5.833333333333333
ANTARTIDA                            ,Oct,Nubosidad total (octavos),6.133333333333333
ANTARTIDA                            ,Nov,Nubosidad total (octavos),6.283333333333332
ANTARTIDA                            ,Dic,Nubosidad total (octavos),6.283333333333334
ANTARTIDA                            ,Ene,Precipitación (mm),0.0
ANTARTIDA                            ,Feb,Precipitación (mm),0.0
ANTARTIDA                            ,Mar,Precipitación (mm),0.0
ANTARTIDA                            ,Abr,Precipitación (mm),0.0
ANTARTIDA                            ,May,Precipitación (mm),0.0
ANTARTIDA                            ,Jun,Precipitación (mm),0.0
ANTARTIDA                            ,Jul,Precipitación (mm),0.0
ANTARTIDA                            ,Ago,Precipitación (mm),0.0
ANTARTIDA                            ,Sep,Precipitación (mm),0.0
ANTARTIDA                            ,Oct,Precipitación (mm),0.0
ANTARTIDA                            ,Nov,Precipitación (mm),0.0
ANTARTIDA                            ,Dic,Precipitación (mm),0.0
ANTARTIDA                            ,Ene,Temperatura (°C),0.5833333333333334
ANTARTIDA                            ,Feb,Temperatura (°C),-0.6
ANTARTIDA                            ,Mar,Temperatura (°C),-3.233333333333334
ANTARTIDA                            ,Abr,Temperatura (°C),-6.3
ANTARTIDA                            ,May,Temperatura (°C),-8.233333333333333
ANTARTIDA                            ,Jun,Temperatura (°C),-10.966666666666667
ANTARTIDA                            ,Jul,Temperatura (°C),-12.216666666666667
ANTARTIDA                            ,Ago,Temperatura (°C),-11.433333333333332
ANTARTIDA                            ,Sep,Temperatura (°C),-9.033333333333333
ANTARTIDA                            ,Oct,Temperatura (°C),-5.8999999999999995
ANTARTIDA                            ,Nov,Temperatura (°C),-2.316666666666667
ANTARTIDA                            ,Dic,Temperatura (°C),-0.1166666666666667
ANTARTIDA                            ,Ene,Temperatura máxima (°C),3.183333333333333
ANTARTIDA                            ,Feb,Temperatura máxima (°C),2.033333333333333
ANTARTIDA                            ,Mar,Temperatura máxima (°C),-0.4666666666666666
ANTARTIDA                            ,Abr,Temperatura máxima (°C),-3.3666666666666667
ANTARTIDA                            ,May,Temperatura máxima (°C),-4.8500000000000005
ANTARTIDA                            ,Jun,Temperatura máxima (°C),-7.416666666666667
ANTARTIDA                            ,Jul,Temperatura máxima (°C),-8.299999999999999
ANTARTIDA                            ,Ago,Temperatura máxima (°C),-7.483333333333334
ANTARTIDA                            ,Sep,Temperatura máxima (°C),-5.266666666666667
ANTARTIDA                            ,Oct,Temperatura máxima (°C),-2.4666666666666663
ANTARTIDA                            ,Nov,Temperatura máxima (°C),0.7333333333333334
ANTARTIDA                            ,Dic,Temperatura máxima (°C),2.6
ANTARTIDA                            ,Ene,Temperatura mínima (°C),-1.8499999999999999
ANTARTIDA                            ,Feb,Temperatura mínima (°C),-3.1333333333333333
ANTARTIDA                            ,Mar,Temperatura mínima (°C),-6.1000000000000005
ANTARTIDA                            ,Abr,Temperatura mínima (°C),-9.35
ANTARTIDA                            ,May,Temperatura mínima (°C),-11.683333333333332
ANTARTIDA                            ,Jun,Temperatura mínima (°C),-14.700000000000001
ANTARTIDA                            ,Jul,Temperatura mínima (°C),-16.416666666666668
ANTARTIDA                            ,Ago,Temperatura mínima (°C),-15.616666666666667
ANTARTIDA                            ,Sep,Temperatura mínima (°C),-13.149999999999999
ANTARTIDA                            ,Oct,Temperatura mínima (°C),-9.566666666666668
ANTARTIDA                            ,Nov,Temperatura mínima (°C),-5.3999999999999995
ANTARTIDA                            ,Dic,Temperatura mínima (°C),-2.766666666666667
ANTARTIDA                            ,Ene,Velocidad del Viento (km/h) (2011-2020),3.1999999999999997
ANTARTIDA                            ,Feb,Velocidad del Viento (km/h) (2011-2020),3.8333333333333335
ANTARTIDA                            ,Mar,Velocidad del Viento (km/h) (2011-2020),3.9
ANTARTIDA                            ,Abr,Velocidad del Viento (km/h) (2011-2020),3.9166666666666665
ANTARTIDA                            ,May,Velocidad del Viento (km/h) (2011-2020),3.5833333333333335
ANTARTIDA                            ,Jun,Velocidad del Viento (km/h) (2011-2020),3.4
ANTARTIDA                            ,Jul,Velocidad del Viento (km/h) (2011-2020),3.6
ANTARTIDA                            ,Ago,Velocidad del Viento (km/h) (2011-2020),3.8166666666666664
ANTARTIDA                            ,Sep,Velocidad del Viento (km/h) (2011-2020),3.983333333333333
ANTARTIDA                            ,Oct,Velocidad del Viento (km/h) (2011-2020),3.6
ANTARTIDA                            ,Nov,Velocidad del Viento (km/h) (2011-2020),3.4333333333333336
ANTARTIDA                            ,Dic,Velocidad del Viento (km/h) (2011-2020),3.0500000000000003
BUENOS AIRES                         ,Ene,Frecuencia de días con Precipitación superior a 1.0 mm,6.747619047619047
BUENOS AIRES                         ,Feb,Frecuencia de días con Precipitación superior a 1.0 mm,5.9904761904761905
BUENOS AIRES                         ,Mar,Frecuencia de días con Precipitación superior a 1.0 mm,6.576190476190476
BUENOS AIRES                         ,Abr,Frecuencia de días con Precipitación superior a 1.0 mm,6.376190476190475
BUENOS AIRES                         ,May,Frecuencia de días con Precipitación superior a 1.0 mm,4.790476190476191
BUENOS AIRES                         ,Jun,Frecuencia de días con Precipitación superior a 1.0 mm,4.114285714285715
BUENOS AIRES                         ,Jul,Frecuencia de días con Precipitación superior a 1.0 mm,4.242857142857143
BUENOS AIRES                         ,Ago,Frecuencia de días con Precipitación superior a 1.0 mm,4.2714285714285705
BUENOS AIRES                         ,Sep,Frecuencia de días con Precipitación superior a 1.0 mm,5.0095238095238095
BUENOS AIRES                         ,Oct,Frecuencia de días con Precipitación superior a 1.0 mm,7.471428571428571
BUENOS AIRES                         ,Nov,Frecuencia de días con Precipitación superior a 1.0 mm,6.976190476190476
BUENOS AIRES                         ,Dic,Frecuencia de días con Precipitación superior a 1.0 mm,6.628571428571429
BUENOS AIRES                         ,Ene,Humedad relativa (%),63.56666666666666
BUENOS AIRES                         ,Feb,Humedad relativa (%),68.4095238095238
BUENOS AIRES                         ,Mar,Humedad relativa (%),75.4761904761905
